,positionName,companyShortName,companySize,industryField,financeStage,companyLabelList,firstType,secondType,thirdType,city,district,salary,salaryMonth,workYear,jobNature,education,positionAdvantage,latitude,longitude,neededSkills
1,数据分析师,杭州布谷科技有限责任公司,15-50人,"移动互联网,数据服务",B轮,[],产品|需求|项目类,产品经理,数据分析师,杭州,余杭区,12k-24k,0,1-3年,全职,本科,发展前景、福利待遇、弹性时间,30.281375,120.003524,"['大数据', '竞品分析', '需求分析', '用户研究', '教育', '数据分析']"
2,数据分析师,网营科技,150-500人,电商,不需要融资,"['五险一金', '周末双休', '氛围超嗨', '节日礼物']",产品|需求|项目类,数据分析,数据分析,杭州,西湖区,10k-15k,0,1-3年,全职,本科,"周末双休,五险一金,活动丰富,氛围超嗨",30.291030,120.068592,"['电商', '数据运营', '数据分析']"
3,数据分析师,广发银行信用卡中心,2000人以上,金融,不需要融资,"['管理规范', '平台大机遇好', '金融科技', '绩效奖金']",产品|需求|项目类,产品经理,数据分析师,广州,天河区,8k-15k,13,不限,全职,本科,双休；完善的职业发展体系；广阔的发展前景,23.119929,113.323343,['数据分析']
4,数据分析师,爱问科技,150-500人,"移动互联网,社交",不需要融资,"['五险一金', '午餐补助', '绩效奖金', '年终奖金']",产品|需求|项目类,产品经理,数据分析师,深圳,南山区,8k-15k,0,3-5年,全职,本科,五险一金 带薪年假 年终奖金 餐饮补贴,22.539456,113.954518,"['python', 'sql', '数据分析']"
5,数据分析师,本木医疗,50-150人,"移动互联网,消费生活",不需要融资,"['股票期权', '专项奖金', '绩效奖金', '午餐补助']",开发|测试|运维类,数据开发,数据分析,北京,朝阳区,15k-30k,0,5-10年,全职,本科,数据产品,39.919553,116.449843,"['大数据', 'Hive', 'SQLServer', '数据分析']"
6,数据分析师,NEXA,50-150人,"移动互联网,游戏",不需要融资,"['节日礼物', '技能培训', '绩效奖金', '岗位晋升']",产品|需求|项目类,数据分析,数据分析,成都,锦江区,12k-20k,0,3-5年,全职,本科,五险一金 带薪年假 周末双休 节假日福利,30.650513,104.084896,"['数据分析', '商业', 'BI', 'SQL']"
7,数据分析师,泰康在线,500-2000人,"移动互联网,金融",不需要融资,"['绩效奖金', '带薪年假', '交通补助', '通讯津贴']",产品|需求|项目类,产品经理,数据分析师,北京,昌平区,20k-25k,0,5-10年,全职,本科,500强企业 晋升空间大 扁平化,40.097801,116.272152,"['保险', '电商', '数据分析']"
8,数据分析师,汇数智通,15-50人,移动互联网,A轮,"['股票期权', '年度旅游', '扁平管理', '五险一金']",产品|需求|项目类,产品经理,数据分析师,杭州,江干区,3k-6k,0,在校/应届,全职,本科,半年调薪,30.303210,120.369899,"['竞品分析', '需求分析', '数据分析']"
9,数据分析师,一面数据,50-150人,"移动互联网,数据服务",不需要融资,"['海归精英团队', '年度旅游', '定期体检', '年终分红']",产品|需求|项目类,数据分析,数据分析,深圳,南山区,3k-6k,0,在校/应届,实习,本科,大数据人工智能；名校系大牛；技术氛围浓,22.537843,113.944830,"['大数据', '数据分析']"
10,数据分析师,新娱加传媒,150-500人,文娱丨内容,C轮,"['带薪年假', '绩效奖金', '领导好', '美女多']",产品|需求|项目类,数据分析,数据分析,广州,黄埔区,10k-15k,0,不限,全职,本科,弹性工作、周末双休、工作氛围,23.099310,113.450281,"['数据库', '数据分析']"
